average_rate_per_night,bedrooms_count,city,date_of_listing,description,title,url
$600.00,3,Bryan,August 2015,"Lovely two story 2,300 sq. ft., 3 bedrooms 2.5 bath home is at the end of a cul-da-sac perfect for Aggie GAME DAY or a quiet weekend. From the house Kyle Field is 7 miles. Easy access to highway 6. Convenient shopping centers under a mile.",Aggie GAME DAY! or Weekend Rental!,https://www.airbnb.com/rooms/7999166?location=College%20Station%2C%20TX
$21.00,1,Converse,November 2016,"My place is close to restaurants and dining, family-friendly activities, and nightlife. You’ll love my place because of the kitchen, the coziness, and the high ceilings. Swimming pool, free parking, covered patio My place is good for couples, solo adventurers, and business travelers.\nCan recieve discount on car rentals through Alamo, National and Enterprise.",Shadow Creek Apartments,https://www.airbnb.com/rooms/15886536?location=Cibolo%2C%20TX
$359.00,1,Spicewood,January 2017,"Part of the exciting Reserve at Lake Travis, this luxury 1BR, 1BA cabin (sleeps 4) with new loft enjoys access to a pool with swim-up bar, plus a lazy river. Bring your own boat and moor it at our marina. We’re conveniently located just off Highway 71.",The Reserve at Lake Travis Cabin #10,https://www.airbnb.com/rooms/17312320?location=Bee%20Cave%2C%20TX
$250.00,2,Austin,October 2011,"Book confidently with an Airbnb Superhost! I’ve hosted thousands of guests and pride myself on providing fast communication, immaculate professionally cleaned rentals, and easy 24-hour checkin/checkout. With this rental, you’ll enjoy the use of two complimentary bikes, Gigabit WIFI, free Netflix, garage parking, washer/dryer, comfy natural mattresses, natural bath products, organic fresh ground coffee, a tranquil outdoor shower, and more.","East Austin Bamboo Hideaway, with BIKES!!",https://www.airbnb.com/rooms/1969618?location=Brazos%20River%2C%20TX
$200.00,3,Columbus,April 2017,"My place is great for work or corporate stays, couples, girls weekend or singles looking to relax. Located in the heart of the downtown area, with local shopping and antique stores. Beautiful courthouse and opera house 2 blocks away, Colorado River within walking distance for a day of fishing or canoeing. LaGrange/Round Top Antique shopping within driving distance.Central location makes Austin, Houston and San Antonio a day trip destination. Many eateries in town. HEB grocery store and Walmart.\n\nHouse built in 1934, has been completly renovated. Many vintage touches left intact. Beautiful vintage stained glass and original hardwood floors and kitchen sink. Wonderful place to stay for the person who loves architectural antiques!\n\nEntire house and laundry room which has a wonderful indoor gathering space or art studio or whatever you want to use it for.\n\nUsually will respond within 30 minutes by phone. Host lives 1 block away.\n\nScenic and quiet. Very relaxing! Many historic homes in town. Columbus is known for having the most historic markers in the state of Texas. Fun to walk all over town and read each one as you learn more about the town's past. Walk over to the new Courtyard Wine Bar located at the Live Oak Art Center downtown. (URL HIDDEN)\nGreat place to relax and make new friends!\n\nAll shopping and restaurants within walking distance or a short drive away!","Charming Columbus, Tx Guest Quarters",https://www.airbnb.com/rooms/18269171?location=Columbus%2C%20TX
$185.00,2,Tool,January 2016,"Come experience peace and quiet in this cozy cabin with water views as far as the eye can see! With two family rooms, a large covered patio and dock with an expansive sundeck, opportunities abound for a get away you won't forget!",Cozy Waterfront Lake Cabin Retreat,https://www.airbnb.com/rooms/10294101?location=Cedar%20Creek%20Reservoir%2C%20TX
$105.00,2,Pearland,December 2015,"Fully furnished apartment attached to homeowners residence. Located on spacious, quiet creekfront property. Prime birdwatching from patio and walking trail along the creek. Several popular restaurants and grocers \nwithin one mile. Easy access to Hobby Airport, NASA and many coastal\nareas.",Country House in the City,https://www.airbnb.com/rooms/11313704?location=Alvin%2C%20TX
$46.00,1,Frisco,July 2015,"This spot is located in the heart of Frisco. It is 10 minutes away from Toyota Stadium, Downtown/ Frisco Square, Dr. Pepper Arena, Ford Center at the Star, Shops at Legacy in Plano. There is an available rental car for an additional charge.",Comfortable Spot in Heart of Frisco,https://www.airbnb.com/rooms/11587399?location=Celina%2C%20TX
$150.00,2,Canyon Lake,April 2016,"Our beautiful house is only 5-10 mins away from 3 boat ramps with big patio on 3 acres, 2 hammocks to relax after swiming or boating while dinner is cooking on the grill.Beautiful quiet neighborhood for walking or biking after enyoing a cup of coffee",Canyon Lake Stay's,https://www.airbnb.com/rooms/12487854?location=Canyon%20Lake%2C%20TX
$75.00,1,Fort Worth,September 2015,"We are located in a quiet neighborhood. Cute house, comfy bed. Room sleeps two-fur kids welcome! On demand car service in house. Need directions? Recommendations? Reservations? We're here to help! Let us know if there's anything we can do to make your stay more enjoyable!",Room And A Pool 2,https://www.airbnb.com/rooms/17676938?location=Benbrook%2C%20TX
$23.00,1,Denton,May 2017,"Very private, spacious, freshly pained room w/new carpet that has an adjoining wall only to the bathroom and hall. Soft pillows, comfortable bed. Walk in closet with shelves. Key lock on the bdrm door. Use of all of the common areas. Coffee, tea, and fresh fruit in the morning. I'm vegetarian, so some restrictions on kitchen cooking. Quiet neighborhood. Trails, parks, library close by. 2 mi. to TWU, 3 mi. Denton Sq., 5 mi. to UNT. Close to shopping, restaurants, coffee shops.",Private front bedroom w/twin bed next to bath,https://www.airbnb.com/rooms/19387218?location=Corinth%2C%20TX
$135.00,3,Corpus Christi,January 2016,"1600 Square foot historic house in a great neighborhood walking distance to Cole Park, Spohn Shoreline Hospital and 6-points. Less than a mile and half from downtown, Magee beach and the seawall. This house puts you right near the Lexington, Texas State Aquarium, Corpus Christi Hooks baseball, Museums and more. Less than a block from some great dinning, and shopping. You’ll love our place because of the location, the size and the custom features that make it feel like home.","Historic Cole St House, walk to water, Cole Park",https://www.airbnb.com/rooms/14211883?location=Corpus%20Christi%2C%20TX
$129.00,1,Crawford,April 2017,Come sit for a spell and enjoy the fresh air of the country. Stay in this cozy cabin and try out the \,Tiny House#2@Gathering Oaks Retreat,https://www.airbnb.com/rooms/16495832?location=Clifton%2C%20TX
$165.00,3,Plano,March 2017,"3 bedroom, 2.5 bathroom home. Plenty of space for you and your things.",Spacious 3-BR Patio Home,https://www.airbnb.com/rooms/17791606?location=Allen%2C%20TX
$115.00,1,Bastrop,July 2014,Modern vintage charm nestled on a hilltop in a neighborhood full of rolling hills and pine trees. Relaxation awaits you in this peaceful country like setting with amazing sunsets. We look forward to your stay and hope you enjoy our small town.,Guesthouse in the hills,https://www.airbnb.com/rooms/7094972?location=Bastrop%2C%20TX
$235.00,1,Travis County,January 2017,"House, 1 Bedrooms, 1 Baths, (Sleeps 4)",Vela Villa,https://www.airbnb.com/rooms/17077343?location=Briarcliff%2C%20TX
$68.00,1,Dallas,August 2014,"COMFY PRIVATE FULLY FURNISHED CONDO 1 BEDROOM 1 FULL BATHROOM WITH SHOWER AND TUB.\nPORCELAIN TILE FLOORS,\nFIREPLACE, \nFULLY EQUIPPED KITCHEN WITH ALL UTENSILS,\n FULL-SIZE WASHER DRYER IN CONDO APT.\n QUEEN BED, AND COZY SOFA FOR A GUEST\n 1ST FLOOR EASY ACCESS.\n ALL LINENS BED/BATH.\nWALK OUT PATIO BALCONY.\n GATED COMMUNITY, RESERVED COVERED PARKING, \nFLAT SCREEN TV, internet modem router, and Wifi.","FURNISHED CONDO 1115 Preston Road,North DALLAS TX",https://www.airbnb.com/rooms/6020278?location=Addison%2C%20TX
$60.00,1,Euless,September 2016,"Affordable clean comfy private bedroom with bath. 7 miles from DFW, approximately 6 miles from Cowboys Stadium, Rangers &amp; Six Flags.","2 Bedroom 1.5 bath - accommodates 4 guests, comfy",https://www.airbnb.com/rooms/15239530?location=Bedford%2C%20TX
$39.00,1,Allen,February 2015,"North Allen Texas with one private room and bath. Free parking &amp; close to all main attractions and businesses in the D/FW, Frisco, Plano and McKinney area.","Quiet suburbs, superb location",https://www.airbnb.com/rooms/5259842?location=Allen%2C%20TX
$89.00,1,Houston,January 2015,The Artisan Carriage House is an adorable 1:1 independent apartment. This open concept 750 sq ft space has an full kitchen and living area with a private 1 bedroom. Curbside parking available.,Artisan Carriage House,https://www.airbnb.com/rooms/13723595?location=Alvin%2C%20TX
$58.00,1,Houston,September 2016,"My place is close to Galleria, Central Market, Kirby Ice House, Memorial Park, Highland Village, and the River Oaks District. There is plenty of great restaurants, shopping, and more all within walking distance.",Loft Condo,https://www.airbnb.com/rooms/14935409?location=Bellaire%2C%20TX
$2000.00,4,Katy,December 2016,"Just 30 minutes away from NRG stadium. Superbowl ready. 2750 sqft, Quiet, safe new neighborhood. All rooms are large, flat screen TVs, Direct TV. 3 bedrooms down stairs with 2 full baths and 1 upstairs bedroom with gameroom and full bath.",Amazing cozy 4br 3ba oasis.,https://www.airbnb.com/rooms/16558477?location=Cinco%20Ranch%2C%20TX
$100.00,2,Bellaire,February 2016,"Located within prestigious Bellaire City. Bellaire is a very safe and quiet neighborhood inside Houston TX. This house is well located conveniently to many venues in Houston. Drivetime: 5 minutes to Galleria, 10 minutes to the NRG Stadium, 15 minutes to Houston Museum of Natural Science, Rice Village, Rice University, Texas Medical Center. 15 minutes to Midtown and Downtown.",NEW: Prestigious Bellaire City - Galleria Mall,https://www.airbnb.com/rooms/16351424?location=Bellaire%2C%20TX
$100.00,2,College Station,September 2012,"My apartment is on the top floor of a 4-plex, on a quiet side street within a short drive of Texas A&amp;M, and within walking distance (or a short drive) of shops and restaurants. Big windows allow in tons of natural light, and an open living room and kitchen make this place spacious and welcoming. Perfect for a family in town for an Aggies game, or for visiting students or professionals.",Spacious 2bed 2bath near A&M campus,https://www.airbnb.com/rooms/10543066?location=College%20Station%2C%20TX
$65.00,Studio,Fort Worth,May 2015,"Enjoy your stay in this cute cozy studio on the 4th floor, within walking distance to Sundance Square and all things offered in the downtown area like shopping, restaurants, Starbucks, and convention center. Right on the Trinity River, so perfect for walking or running on the river trails.\n**My cat (Penelope) will be there** during the summer months so you must be ok with this. She's 13 and sleeps a lot, so she won't bother you. You don't need to take care of her, she will just be there.",Downtown large studio apartment,https://www.airbnb.com/rooms/11837656?location=Benbrook%2C%20TX
$199.00,2,Austin,March 2016,"This Amazing authentic log cabin is close to Dripping Springs, Hamilton Pool, Treaty Oak Distillery, Stanley Farmhouse Pizza/Brewery, Numerous Wedding venues and wineries, Deep Eddy Distillery, Bee Caves and cycling. The log cabin has incredible amenities close to all hill country activities. This is why you come to the hill country! charm and uniqueness!!. Come enjoy the surroundings, enjoy a glass of wine on the back patio or front porch....super cozy",Dripping Springs Log Cabin - Camp CuddleUp,https://www.airbnb.com/rooms/15644617?location=Bee%20Cave%2C%20TX
$45.00,1,Denton,July 2014,"A quiet backyard with a view of trees, birds and squirrels is sure to add a peaceful stay to your getaway. My home is close to UNT, near the football stadium and close access to I-35 both north and south.","Cozy cottage, warm and inviting.",https://www.airbnb.com/rooms/17454242?location=Corinth%2C%20TX
$75.00,1,San Antonio,August 2016,"My home is comfortable and happy with a gorgeous view and nice backyard. It's fully furnished you're welcome to use everything in my home. It's a three bedroom home with two bathrooms and you will be able to use the bedroom and bathroom on one side of the home. I will be available at all times to answer any questions you may have. The home is 15 minutes from the airport, 15 minutes from Gruene where the famous green Hall is. Also New Braunfels and many many other attractions that I can share with you.",Bright & Beautiful Home,https://www.airbnb.com/rooms/18180621?location=Cibolo%2C%20TX
$275.00,2,Bastrop,February 2013,"Gorgeous spacious newly remodeled 1300 sq. ft. immaculate cabin with the Colorado River in your back yard. All amenities are included: full kitchen, dining area, vaulted ceiling in living room with gas fireplace, king and queen bedrooms with additional comfortable fold out bed, one large bathroom, indoor/outdoor hammock, all linens, soaps, towels provided, wireless internet, utility room with washer and dryer, wrap around upper deck with amazing views, lower patio with ping pong table, picnic table and porch swing, private dock, A fantastic place to get away - kayak, fish, bike ride or relax. Great restaurants, shopping in downtown Historic Bastrop, beautiful recreation areas, theater. Cabin is an easy 40 minute drive from Austin and less than 30 minutes from the airport. You will not be disappointed.",Beautiful Cabin on Colorado River,https://www.airbnb.com/rooms/937335?location=Cedar%20Creek%2C%20TX
$75.00,1,College Station,September 2016,"My place is close to parks, restaurants and dining, the University. You’ll love my place because of the ambiance, the location. My place is good for couples.",Hip Aggie Weekend Getaway,https://www.airbnb.com/rooms/15872252?location=College%20Station%2C%20TX
$884.00,5,Dallas,December 2014,"Incredible home designed for Airbnb. TOTAL remodel completed June 2, 2017. Every item in this large beautifully designed single story (NO STEPS) home is bran new! Located just 8 miles from downtown Dallas in a safe and quiet neighborhood. The open floor plan is ideal for larger groups looking for private entertainment value. Professionally decorated in the modern/transitional style, this home has a wonderful atmosphere &amp; comfortable feel w/ an awesome outdoor pool. You will not be disappointed!",AWESOME VIP HOME WITH POOL CLOSE TO DOWNTOWN !,https://www.airbnb.com/rooms/17527189?location=Addison%2C%20TX
$1999.00,4,League City,January 2017,Conveniently located in southeast Houston Tx. NRG Stadium is just a 30 Min Drive from this beautiful rental home. 7 Minute drive to the famous Kemah Boardwalk. Home sits on the South Shore Country Club 9th Hole Tee Box.\n\n2 night minimum required.,Super Bowl Home you have been looking for,https://www.airbnb.com/rooms/16665971?location=Beach%20City%2C%20TX
$56.00,Studio,Dallas,November 2016,gfdgfd,vfdfg,https://www.airbnb.com/rooms/19214976?location=Allen%2C%20TX
$90.00,1,Houston,December 2016,"Modern Decor adorn this Galleria Area beauty! Minutes away from The Galleria Mall, River Oaks, lots of fine dining and shopping, you are sure to enjoy this beautiful apartment.",Galleria Modern Luxury Midrise,https://www.airbnb.com/rooms/16567411?location=Bellaire%2C%20TX
$100.00,3,Lantana,January 2014,"Beautiful home in Lantana, TX, a master planned community. It has 3 bedrooms and 2 bathrooms and a lot of natural light. The home is fairly new and all appliances and carpet were replaced 18 months ago. The home is not furnished, but does have a washer, dryer, and refrigerator. It does include access to all amenities of the neighborhood, such as 5 pools (when in season), tennis courts, basketball courts, gyms, and walking trails.",Lantana Home,https://www.airbnb.com/rooms/16617167?location=Corinth%2C%20TX
$121.00,2,The Woodlands,May 2017,"Luxury apartment walking distance to The Woodlands waterway, Cynthia Woods Mitchell Pavilion for concerts, lots of shopping, lots of restaurants, movies and much more! 2 bedrooms and 2 full baths. Dining and living room. Kitchen. Washer/Dryer. Located on Second floor over looking pool. Garage parking with key fob safety. Exercise gym 24 hours. Business area with computers and printers. Free coffee each day. 1235 sq ft.",Luxury Apartment The Woodlands Waterway,https://www.airbnb.com/rooms/18898045?location=Cleveland%2C%20TX
$175.00,2,San Saba,January 2015,"Clean, comfortable lodging on 5 acres with large pecan trees and 700+ feet of Colorado River frontage. On the property you can enjoy fishing and cooking over the campfire.",Flying H River Cabin,https://www.airbnb.com/rooms/4968107?location=Brady%2C%20TX
$64.00,1,Houston,July 2014,"Great room to stay in for business travelers or anyone on holiday or vacation. Centrally located in the Montrose district near downtown for business, but even closer to dozens of restaurants and the vibrant Houston nightlife.","Clean, comfortable, & classy condo",https://www.airbnb.com/rooms/3869644?location=Baytown%2C%20TX
$125.00,2,Dallas,March 2017,"Our fully updated 2 bedroom-2 1/2 bath townhome with a private one car garage and a large patio deck, is centrally located in a quiet condo community in the desirable Lakewood area of Dallas just blocks from White Rock Lake, the gem of Dallas, &amp; the Santa Fe biking trail. Located just minutes from the Dallas Arboretum, Deep Ellum, Lower Greenville, Baylor Hospital, and Downtown, it is convenient to everything.","""N'kahoots"" a Charming Lakewood Townhome",https://www.airbnb.com/rooms/17980050?location=Balch%20Springs%2C%20TX
$68.00,1,Fort Worth,January 2017,"Nestled into a beautiful historic neighborhood that is Cultural District adjacent, The Guesthouse is conveniently located and accessible to all Fort Worth events, life, and culture. The following locations are only a short drive away, some even within walking distance\n-The Stock Show\n -Botanical Gardens\n-Bass Hall\n-Water Gardens\n-Trinity Park\n-The Trinity Trails\n-Museum District\n-7th Street District\n-Historic Stock Yards\n- Magnolia District \n-UNTHSC\n-Sundance Square and many more!!",The Guesthouse,https://www.airbnb.com/rooms/16720820?location=Benbrook%2C%20TX
$195.00,1,Seabrook,October 2015,Medicine for the soul on this unique and private waterfront. A one-of-a-kind location on the water with a commanding view of the Kemah Boardwalk at your feet. Experience a beautiful hidden gem in an exotic setting that will transport you beyond the ordinary. Surrounded by nature -- sun rises and sun sets with a prevailing sea breeze to warm your soul.,Beacon Hill Bed and Breakfast Helm Guest House,https://www.airbnb.com/rooms/8812996?location=Beach%20City%2C%20TX
$114.00,2,Alpine,July 2015,"Located in the heart of downtown Alpine Texas this apartment(part of a four-plex) is the perfect place to scout out the city, explore the surrounding towns of Marfa and Fort Davis, and discover the beauty of Big Bend National Park.Formerly a hospital built in the 1920's, you are walking distance to shops, restaurants,bars all in historic downtown and on Murphy street. Half a block from Amtrak, too!!! 2 bedroom/2 bath,living,kitchen! Enjoy the Backyard around the corner of the building!",2/2 Awesome Apt. Downtown- 102,https://www.airbnb.com/rooms/7515415?location=Alpine%2C%20TX
$250.00,3,Tool,June 2016,"Waters Edge Lake House is located on Cedar Creek Lake, and is also 30 minutes from Canton. Our home is great for couples, solo adventurers, families (with kids), and big groups up to 10. Lone Star Marina is located within a few miles if you have a boat to drop in or want to rent. We have a buoy and cleats on the wall for docking. Also within 5-10 miles is a grocery store, bowling alley, movie theater and go-carting with indoor games and laser tag.",Waters Edge Lake House,https://www.airbnb.com/rooms/13764903?location=Corsicana%2C%20TX
$115.00,1,Houston,October 2016,"My place is close to nightlife, public transport, the city center, and parks. You’ll love my place because of the high ceilings, the location, the people, and the ambiance. My place is good for couples, solo adventurers, business travelers, and families. The place is yours make yourself at home!","Comfy, luxury NRG location!",https://www.airbnb.com/rooms/15531504?location=Alvin%2C%20TX
$358.00,2,Rockport,April 2017,PERFECT FISHING GETAWAY FOR 2 TO 4 PEOPLE!,Bay House Copano,https://www.airbnb.com/rooms/19065954?location=Bayside%2C%20TX
$99.00,2,Houston,August 2016,"We would love to welcome you in our spacious, modern apartment filled with ample natural light from expansive windows. Our apartment is located in the popular and cozy Montrose neighborhood/Museum District. Within walking distance you'll find great restaurants, bars, supermarkets, coffee shops, museums, and vintage/antique shopping. There is plenty of street parking and you can use the parking garage if you're bringing a car but you can also get by fine with just your feet or Uber!",Bright & Modern 2-bedroom in the heart of Montrose,https://www.airbnb.com/rooms/18825739?location=Bellaire%2C%20TX
$195.00,3,Carrollton,May 2016,"A New house in a beautiful community.\nRental is 2nd floor. 1500+ sqft with open space high ceiling. 3 large furnished bedrooms and 2 full bathes + Living/game areas. Fast internet, TV...\nMajor Highways: Immediate access to 3 major highways. \nConvenience to Plano, Frisco, North Dallas, Addison, The Colony...\nAirports: Easily access to DFW and Love Field. \nRestaurants &amp; Shopping: Willow Bend Mall &amp; Legacy shops, restaurants.\nOur place is good for business travelers, and families (with kids).",Entire Floor 3BD/2BA in 2 Story Home or 1-2BD,https://www.airbnb.com/rooms/17998711?location=Carrollton%2C%20TX
$85.00,2,San Antonio,February 2013,"Memorial Holiday is almost upon us. Here is to a wonderful 2017 in San Antonio!!\n\nThe Blue Bonnet is a fully-modernized, 2-bed historic bungalow in Southtown. This spectacular location is right in the middle of it all! \n\nWe look forward to your visit!",Blue Bonnet in Southtown,https://www.airbnb.com/rooms/2025210?location=Colorado%20River%2C%20TX
,3,San Antonio,March 2014,"Weekend getaway!!! Coming in from Dallas, Houston, or the Austin area for the weekend?",Gorgeous home near Sea World/Golf,https://www.airbnb.com/rooms/2923974?location=Castroville%2C%20TX
$575.00,4,Abilene,February 2014,"The Sayles Ranch is not an actual ranch but is a 4 bedroom, 2 bathroom \","Sayles Ranch, 4 bdr/2bth plus pool",https://www.airbnb.com/rooms/9495553?location=Abilene%2C%20TX
$99.00,Studio,Houston,May 2014,"This cozy downtown loft is close to GRB Convention Center, Minute Maid, BBVA Compass stadium, Discovery Green, Toyota Center and more! You will love being close to so many things that Houston has to offer and enjoy the trendy area with a cozy homey feel.",Cozy Downtown Loft - Walk to GRB!,https://www.airbnb.com/rooms/15492392?location=Alvin%2C%20TX
$160.00,2,Bolivar Peninsula,January 2016,Quaint and fun beach house. Located about 5 rows back this house is a great stay. Simple layout with A LOT of space. Easy 3-5 min walk to the beach and Driving access is just a road over. Right across the street from the Big Store.,"Bolivar, Crystal Beach House",https://www.airbnb.com/rooms/11573204?location=Anahuac%2C%20TX
$70.00,1,Seabrook,September 2014,Please read full detailed description for multiple renting options. The Kemah Boardwalk is only a few minutes away by car. Plenty of fishing access and even a private beach nearby. We are only 15 miles from Exxon and 23 miles from Chevron in Baytown. The commutes to these plants are easy-breezy with little to no traffic. Bayport Terminal is only 3 miles away as well. All work schedules are welcome. Shower with soaking tub. Equipped kitchen and washer/dryer access. Close to restaurants and pubs.,Cozy Room in Beautiful Seabrook #2,https://www.airbnb.com/rooms/19248827?location=Anahuac%2C%20TX
$59.00,1,Dallas,August 2014,"FURNISHED 1 BED 1 BATH COZY CONDO sleeps 4.\nPet-friendly Dog OK\nAll tile floors, marble floor in the bathroom\nQUEEN BED plus 2 futons sofas beds in living room area\nFULL-SIZE equipped KITCHEN, and Kitchen utensils. \nMARBLE BATHROOM TILE FLOORS\n2ND FLOOR WITH OUTDOOR WALK OUT GLASS PATIO BALCONY\nFLAT SCREEN TV ROKU / High-Speed Internet modem and router \nTILE FLOORS\nFULL-SIZE FRONT LOADER WASHER &amp; DRYER\nWALK IN CLOSET\nRESERVED COVERED PARKING\nGATED COMMUNITY POOL HOT TUB","Furnished CONDO 1521 North Dallas sleeps 4, pet ok",https://www.airbnb.com/rooms/5962686?location=Addison%2C%20TX
$28.00,1,Fort Worth,March 2016,"The home is located in a quiet neighborhood including a city park down the street. Located in between &amp; just two miles away from I20 or I30. One mile from 820 loop for fast &amp; easy access anywhere around Fort Worth. Approx. 15 minutes from downtown, TCU, Will Rogers Coliseum, Carswell and Lockheed",Like Home Clean & Comfortable 4,https://www.airbnb.com/rooms/18508558?location=Aledo%2C%20TX
$45.00,1,Flower Mound,October 2016,"Our place is close to restaurants and dining, parks, art and culture, Gaylord's, Great Wolf Lodge, TopGolf. You’ll love our home because of the location, the ambiance, the neighborhood. We enjoy being with other people and sharing experiences. Our home is good for couples, solo adventurers, and business travelers.",Your home away from home in DFW I,https://www.airbnb.com/rooms/15550582?location=Argyle%2C%20TX
$80.00,Studio,Dallas,October 2015,"Warm open space guesthouse cultured as a meditation and massage studio for 20+ years. The space is filled with natural light with a vaulted, shiplap ceiling while offering a restful view onto our garden and gold fish pond. Small refrigerator, microwave, Keurig, toaster oven, towel warmer, hair dryer and bicycles to tour north Oak Cliff and the Bishop Arts District.\nHot tub included, yoga and massage services available, if desired.",Oak Cliff Tiny House,https://www.airbnb.com/rooms/8799838?location=Arlington%2C%20TX
$95.00,1,Houston,April 2014,"Located 1 block from Rice U &amp; Rice Village. Walk less than 1 mile to Med Ctr. and Dryden/TMC train stop (Train access to Downtown, Toyota Ctr., Minute Maid Park, NRG.) Close to Museum District and Houston Medical Center. Space is newly renovated, upstairs (1 flight) garage apart. - comfy &amp; secure.",Amazing Location - Rice Garage Apt,https://www.airbnb.com/rooms/2869658?location=Alvin%2C%20TX
$75.00,2,Amarillo,June 2015,"A gorgeous park viewing home with character and comfort. Experience the Yellow City like never before- 2 min from Route 66, 12min from the famous Cadillac Ranch, shopping/entertainment centers. Palo Duro Canyon, 30min away.\nNOT ENTIRE HOME (You are getting 2rooms/1bath)\nPlease be aware that we live here.",PARKVIEW TWO BED ROOMS,https://www.airbnb.com/rooms/12252177?location=Amarillo%2C%20TX
$300.00,3,Bolivar Peninsula,June 2015,"1500 sq foot cabin built in 2012.\n\nLarge open living, dining, kitchen area\nFully equipped kitchen\nWasher/dryer/iron/ironing board\nLiving room TV-satellite dish, downstairs sand shower, covered parking\n\nNo pets allowed!\n\nNo Wifi, but has satellite cable.",Ca-Co Cabana,https://www.airbnb.com/rooms/6738938?location=Anahuac%2C%20TX
$65.00,1,Dallas,June 2016,"Listing is close to art and culture, restaurants, and family-friendly activities, particularly, 5 mins. to Northpark Mall and 15 mins. to downtown Dallas. You’ll love the listing because of the kitchen, the comfy bed, the coziness, the high ceilings. My place is good for couples, solo adventurer, business travelers. Water, coffee and milk will be provided for your convenience.\n\nI commit to the cleanliness of listing, each change over, 1 hr. to 1 1/2 hr. cleaning to the listing completed.","Feels like home, 1 bedroom with kitchen",https://www.airbnb.com/rooms/15205985?location=Allen%2C%20TX
$59.00,1,Dallas,August 2014,"FURNISHED 1 BED 1 BATH COZY CONDO sleeps 4.\nPet-friendly Dog OK\nAll tile floors, marble floor in the bathroom\nQUEEN BED plus 2 futons sofas beds in living room area\nFULL-SIZE equipped KITCHEN, and Kitchen utensils. \nMARBLE BATHROOM TILE FLOORS\n2ND FLOOR WITH OUTDOOR WALK OUT GLASS PATIO BALCONY\nFLAT SCREEN TV ROKU / High-Speed Internet modem and router \nTILE FLOORS\nFULL-SIZE FRONT LOADER WASHER &amp; DRYER\nWALK IN CLOSET\nRESERVED COVERED PARKING\nGATED COMMUNITY POOL HOT TUB","Furnished CONDO 1521 North Dallas sleeps 4, pet ok",https://www.airbnb.com/rooms/5962686?location=Carrollton%2C%20TX
$325.00,3,South Padre Island,May 2017,"Beachview 3 bedroom, 2 bath condominium. Large open space living room, dinning room, kitchen and wet bar. Located on the ground-floor of a 9 story tower, in front of 4 tennis courts and 3 swimming pools. Easy access &amp; very close to the beach. Walking distance to many restaurants and stores.",South Padre Island Beachview Condominium,https://www.airbnb.com/rooms/18998380?location=Brownsville%2C%20TX
$99.00,1,Lumberton,May 2012,"The Yellow room is furnished with mostly antique furniture from the early 1900’s and late 1800’s. The bed is queen size facing a gold framed flat screen TV on an easel. Numerous curios adorn the shelves like a small collection of strange looking irons and books that are over a hundred years old. (We also have current books in our well stocked library.) The large bathroom offers a whirlpool tub and additionally a large shower. A coffee machine is provided along with various coffees to help you stay awake if you plan on watching TV all evening. A small refrigerator is provided that stocks a few sodas and bottled water. Windows are complimented with sheer curtains that look out over our garden of good and evil. On the premise you can elect to watch movies in our movie room, exercise in our game room or go fishing in our well stocked pond. Free parking is available along with swimming in our pool or soaking in our hot tub. Come and stay a night with us and enjoy a scrumptious breakfast in the morning. If you like, even an espresso or cappuccino.",Yellow Room at Book Nook Inn ,https://www.airbnb.com/rooms/478130?location=Beaumont%2C%20TX
$158.00,2,Crystal Beach,February 2016,"Easy walking distance to the beach with peek-a-boo views of the Gulf of Mexico. Close to restaurants and shops. Granite counters, stainless applainces, bamboo floors and lots of beach decor. The garage houses a BBQ pit, beach chairs, washer boards",Adorable beachside cottage,https://www.airbnb.com/rooms/11066593?location=Anahuac%2C%20TX
$295.00,2,New Braunfels,March 2016,"Third floor condo with great balcony view of Comal River and Landa Park Golf Course. \n\nAs of August 29, 2016, we have installed our own private internet; no more slow internet from having to share with the rest of the condos!.\n\nJump right in the river from our property and enjoy one of the longest floats on the river - tubes and an air pump are provided.\n\nEverything downtown including restaurants, nightlife, Schlitterbahn, and Wurstfest are walking distance. \n\nPool and hot tub on property.","On the Comal, Central to Everything",https://www.airbnb.com/rooms/11921256?location=Comal%20River%2C%20TX
$130.00,1,Wimberley,October 2015,"THE PERFECT GETAWAY SPOT! Why? It's the closest vacation rental within walking distance to the World Famous Market Days. Private, fenced in yard (pets welcome) surrounded by beautiful oak trees. BBQ, chiminea, and S'more fixins!! :)",Kick Back Cabin- Country Townhome,https://www.airbnb.com/rooms/8833656?location=Colorado%20River%2C%20TX
$92.00,1,Houston,April 2010,"This spacious 1br/1ba apartment is fully furnished with everything you need for a comfortable stay. Located in Montrose, the apartment is within steps to the walking/biking paths at Buffalo Bayou and minutes to midtown and downtown.",Modern Apt in Montrose with Cubby Balcony,https://www.airbnb.com/rooms/15759402?location=Bellaire%2C%20TX
$55.00,1,Katy,September 2016,Perfect Super Bowl place. Free chauffeur to and from the Super Bowl and to any Club in the Houston area.\n The driver will be at your service for the whole Super Bowl Weekend.,"Tamarron Subdivision, Katy, TX 77494",https://www.airbnb.com/rooms/14943389?location=Beasley%2C%20TX
